Opinion_A,Opinion_B,m0,count_A,count_B,invalid,n_total,discard_rate
liberal,conservative,0.92,100,0,0,100,0.0
liberal,conservative,0.8,99,0,1,100,0.01
liberal,conservative,0.6,99,1,0,100,0.0
liberal,conservative,0.2,95,5,0,100,0.0
liberal,conservative,0.08,89,11,0,100,0.0
liberal,conservative,-0.08,67,33,0,100,0.0
liberal,conservative,-0.2,61,39,0,100,0.0
liberal,conservative,-0.6,32,68,0,100,0.0
liberal,conservative,-0.8,17,83,0,100,0.0
liberal,conservative,-0.92,10,88,2,100,0.02
pro-life,pro-choice,0.92,90,10,0,100,0.0
pro-life,pro-choice,0.8,89,11,0,100,0.0
pro-life,pro-choice,0.6,67,33,0,100,0.0
pro-life,pro-choice,0.2,46,54,0,100,0.0
pro-life,pro-choice,0.08,32,68,0,100,0.0
pro-life,pro-choice,-0.08,13,87,0,100,0.0
pro-life,pro-choice,-0.2,6,94,0,100,0.0
pro-life,pro-choice,-0.6,0,99,1,100,0.01
pro-life,pro-choice,-0.8,0,100,0,100,0.0
pro-life,pro-choice,-0.92,0,100,0,100,0.0
capitalism,socialism,0.92,95,0,5,100,0.05
capitalism,socialism,0.8,99,0,1,100,0.01
capitalism,socialism,0.6,98,1,1,100,0.01
capitalism,socialism,0.2,95,0,5,100,0.05
capitalism,socialism,0.08,94,2,4,100,0.04
capitalism,socialism,-0.08,89,7,4,100,0.04
capitalism,socialism,-0.2,85,12,3,100,0.03
capitalism,socialism,-0.6,78,16,6,100,0.06
capitalism,socialism,-0.8,72,27,1,100,0.01
capitalism,socialism,-0.92,60,36,4,100,0.04
globalism,nationalism,0.92,100,0,0,100,0.0
globalism,nationalism,0.8,100,0,0,100,0.0
globalism,nationalism,0.6,100,0,0,100,0.0
globalism,nationalism,0.2,100,0,0,100,0.0
globalism,nationalism,0.08,100,0,0,100,0.0
globalism,nationalism,-0.08,100,0,0,100,0.0
globalism,nationalism,-0.2,100,0,0,100,0.0
globalism,nationalism,-0.6,99,0,1,100,0.01
globalism,nationalism,-0.8,99,0,1,100,0.01
globalism,nationalism,-0.92,99,0,1,100,0.01
climate change believer,climate change skeptic,0.92,97,0,3,100,0.03
climate change believer,climate change skeptic,0.8,95,0,5,100,0.05
climate change believer,climate change skeptic,0.6,89,0,11,100,0.11
climate change believer,climate change skeptic,0.2,89,0,11,100,0.11
climate change believer,climate change skeptic,0.08,94,0,6,100,0.06
climate change believer,climate change skeptic,-0.08,86,0,14,100,0.14
climate change believer,climate change skeptic,-0.2,92,0,8,100,0.08
climate change believer,climate change skeptic,-0.6,92,0,8,100,0.08
climate change believer,climate change skeptic,-0.8,90,0,10,100,0.1
climate change believer,climate change skeptic,-0.92,77,0,23,100,0.23
gun control,gun rights,0.92,91,7,2,100,0.02
gun control,gun rights,0.8,85,9,6,100,0.06
gun control,gun rights,0.6,76,15,9,100,0.09
gun control,gun rights,0.2,46,46,8,100,0.08
gun control,gun rights,0.08,25,69,6,100,0.06
gun control,gun rights,-0.08,5,87,8,100,0.08
gun control,gun rights,-0.2,6,93,1,100,0.01
