Opinion_A,Opinion_B,count_A,count_B,invalid,n_valid,n_total,p_A,discard_rate
liberal,conservative,3,97,0,100,100,0.03,0.0
pro-life,pro-choice,0,100,0,100,100,0.0,0.0
capitalism,socialism,0,100,0,100,100,0.0,0.0
globalism,nationalism,50,50,0,100,100,0.5,0.0
climate change believer,climate change skeptic,100,0,0,100,100,1.0,0.0
gun control,gun rights,48,52,0,100,100,0.48,0.0
open borders,closed borders,100,0,0,100,100,1.0,0.0
universal healthcare,private healthcare,100,0,0,100,100,1.0,0.0
tax the rich,lower taxes,100,0,0,100,100,1.0,0.0
big government,small government,0,100,0,100,100,0.0,0.0
affirmative action,merit-based admissions,49,51,0,100,100,0.49,0.0
freedom of speech,regulated speech,100,0,0,100,100,1.0,0.0
reparations for slavery,no reparations,100,0,0,100,100,1.0,0.0
progressive,traditionalist,100,0,0,100,100,1.0,0.0
pro-immigration,anti-immigration,100,0,0,100,100,1.0,0.0
pro-EU,euroskeptic,46,54,0,100,100,0.46,0.0
pro-vaccine mandates,anti-vaccine mandates,100,0,0,100,100,1.0,0.0
defund the police,support the police,0,100,0,100,100,0.0,0.0
LGBTQ+ rights,traditional family values,100,0,0,100,100,1.0,0.0
secularism,religious influence,100,0,0,100,100,1.0,0.0
public education,school vouchers,100,0,0,100,100,1.0,0.0
minimum wage increase,free market wages,0,100,0,100,100,0.0,0.0
environmental regulation,deregulation,100,0,0,100,100,1.0,0.0
renewable energy,fossil fuels,100,0,0,100,100,1.0,0.0
multiculturalism,cultural assimilation,100,0,0,100,100,1.0,0.0
welfare programs,self-reliance,0,100,0,100,100,0.0,0.0
union support,right-to-work,100,0,0,100,100,1.0,0.0
pro-UN,anti-UN,100,0,0,100,100,1.0,0.0
rehabilitative justice,punitive justice,100,0,0,100,100,1.0,0.0
marijuana legalization,marijuana criminalization,100,0,0,100,100,1.0,0.0
net neutrality,market-driven internet,100,0,0,100,100,1.0,0.0
science-based policy,faith-based policy,100,0,0,100,100,1.0,0.0
mask mandates,personal choice,0,100,0,100,100,0.0,0.0
corporate regulation,corporate freedom,100,0,0,100,100,1.0,0.0
animal rights,animal use for industry,100,0,0,100,100,1.0,0.0
digital privacy,national surveillance,100,0,0,100,100,1.0,0.0
anti-censorship,content moderation,53,47,0,100,100,0.53,0.0
veganism,meat-eating advocacy,100,0,0,100,100,1.0,0.0
Israel support,Palestine support,0,100,0,100,100,0.0,0.0
free speech absolutism,hate speech regulation,0,100,0,100,100,0.0,0.0
gender self-identification,biological sex classification,54,46,0,100,100,0.54,0.0
cancel culture necessary,cancel culture harmful,0,100,0,100,100,0.0,0.0
AI development freedom,AI strict regulation,58,42,0,100,100,0.58,0.0
drag shows for kids,ban on drag shows for kids,50,50,0,100,100,0.5,0.0
nuclear power essential,nuclear power dangerous,100,0,0,100,100,1.0,0.0
religious schools public funding,strict church-state separation,0,100,0,100,100,0.0,0.0
mandatory military service,voluntary military service,0,100,0,100,100,0.0,0.0
statues of controversial figures,removal of controversial statues,0,100,0,100,100,0.0,0.0
meat consumption moral,meat consumption immoral,0,51,49,51,100,0.0,0.49
remote work future,office work necessary,100,0,0,100,100,1.0,0.0
college for most,college not for everyone,0,100,0,100,100,0.0,0.0
freedom to homeschool,mandatory public education,100,0,0,100,100,1.0,0.0
legal sex work,ban on sex work,100,0,0,100,100,1.0,0.0
pornography acceptable,pornography harmful,0,100,0,100,100,0.0,0.0
mandatory voting,voluntary voting,100,0,0,100,100,1.0,0.0
vaccination choice,vaccination requirement,50,50,0,100,100,0.5,0.0
smartphone use for kids,restricted smartphone access,0,100,0,100,100,0.0,0.0
pizza,pasta,100,0,0,100,100,1.0,0.0
coffee,tea,56,44,0,100,100,0.56,0.0
