Model,Opinion_A,beta,h,M,se_M,z_M,bic_smooth,bic_jump,delta_bic
Llama-3.1-8B-Instruct,AI development freedom,5.070827497311152,0.8374690366757436,-0.0006843679825806432,0.0012072987326096607,-0.5668588594484266,15.396683891377442,16.960801182942927,-1.5641172915654842
Llama-3.1-8B-Instruct,Israel support,1.4037953161106216,0.9874264926127043,0.2983372806265914,0.0493566964146875,6.044514773031134,311.1662038921255,130.32373773784377,180.84246615428174
Llama-3.1-8B-Instruct,LGBTQ+ rights,3.5697946929671796,0.7839632223771219,0.0017512401456567094,0.009812274062398877,0.17847444277647614,33.99553696329387,34.375413389720656,-0.3798764264267831
Llama-3.1-8B-Instruct,Supreme Court lifetime appointments,2.9163620951495055,-0.22519681621990906,0.012292789547964991,0.039199889957679,0.3135924504185225,38.480661700882756,25.280823056984932,13.199838643897824
Llama-3.1-8B-Instruct,affirmative action constitutional,8.942783923068507,1.0101927877702659,-0.00025685168364271237,0.0008366310316068045,-0.30700712015117576,9.10594038047665,11.307169145144137,-2.201228764667487
Llama-3.1-8B-Instruct,affirmative action,2.3512096978178443,0.022303492429236814,-0.09634128143763239,0.024980839380200896,-3.856607056766465,61.89426776654596,49.138974179870075,12.755293586675883
Llama-3.1-8B-Instruct,animal rights,4.233136225041905,0.8530763716671028,-0.00042091197033074863,0.0016872575523508432,-0.2494651570794839,12.816033502197868,14.858885907291434,-2.0428524050935657
Llama-3.1-8B-Instruct,anti-censorship,1.464142594770951,0.1371941269223098,0.40029591078361015,0.054953514572224416,7.284264052984426,145.8086443186654,110.89849106806172,34.91015325060367
Llama-3.1-8B-Instruct,big government,3.3366223938115778,-1.0169634394278368,-0.0007388164756936448,0.0022842244998265743,-0.32344302223784843,55.94846084201974,57.72582125759652,-1.77736041557678
Llama-3.1-8B-Instruct,capitalism,3.1597124482070655,0.13216541192897147,0.07954124968090964,0.07601818291653994,1.046345053633256,67.76273250859414,37.8322080131488,29.93052449544534
Llama-3.1-8B-Instruct,cats,4.625774585099,0.12013731974727901,0.002585321158161723,0.002879148539048193,0.8979464321130145,25.08445512675443,25.446695148944283,-0.36224002218985163
Llama-3.1-8B-Instruct,city life,3.4316097042203424,0.06281061556310011,0.01795510970333897,0.03723036693786738,0.48227055439189476,283.34875423768875,270.4114727182913,12.937281519397459
Llama-3.1-8B-Instruct,climate change believer,2.963736090419663,1.4562158465760577,-0.00028693959116319256,0.001538336073918147,-0.18652594581127938,10.540706160737464,12.711281913718931,-2.170575752981467
Llama-3.1-8B-Instruct,coffee,3.1197476819103644,-0.0363110945168299,0.03069385341945475,0.028975426084086986,1.0593063698314864,32.11091627891023,17.38708276114277,14.72383351776746
Llama-3.1-8B-Instruct,college for most,4.0503569903077254,0.5562908082971518,0.0015704847580036833,0.023423371154300637,0.0670477681311614,33.168457510522295,34.24431976225377,-1.075862251731472
Llama-3.1-8B-Instruct,constitutional right to a job,1.620405165736968,0.03435581153192537,-0.16057187186127353,0.036012938434008455,-4.458727303119456,54.06717678538221,46.460480682994785,7.606696102387424
Llama-3.1-8B-Instruct,constitutional right to abortion,3.293471673745739,0.40404790940176416,0.0012104778181530897,0.030827947418881094,0.03926559889652959,15.344251447272036,16.792400347026117,-1.4481488997540808
Llama-3.1-8B-Instruct,constitutional right to housing,4.319025632113654,0.19380879138323218,0.0024399067949988874,0.0027256347824474387,0.8951701125592525,41.438654884348544,40.0854145135619,1.3532403707866436
Llama-3.1-8B-Instruct,corporate constitutional rights,1.8417812317763858,0.10245150083526816,0.0016457550368250008,0.06510168936335003,0.02527975929533256,29.044840709538263,31.344177726673717,-2.2993370171354535
Llama-3.1-8B-Instruct,corporate personhood,0.652675821526408,0.3641365559693823,0.30087422111542406,0.05630426487610727,5.3437199078519555,241.14955213480218,207.83585183327895,33.31370030152323
Llama-3.1-8B-Instruct,corporate regulation,1.970902467819856,-0.01752550560634649,0.09226674967181332,0.07854787988759217,1.1746561435375962,35.98982714344036,37.542811450690024,-1.552984307249666
Llama-3.1-8B-Instruct,defund the police,3.724169472277986,-0.13372456090919002,0.04383502148909479,0.032879924425704116,1.3331849830781985,118.52495841000214,99.85540042136125,18.66955798864089
Llama-3.1-8B-Instruct,digital privacy,3.1546663029803415,1.2770885753545214,-0.0003466757147529635,0.00320439437068467,-0.10818759323899657,24.240383577343827,26.369639039692753,-2.129255462348926
Llama-3.1-8B-Instruct,drag shows for kids,1.806081550667021,0.5107385726441165,-0.026225541054930152,0.04925961559322966,-0.5323943506074506,29.270166586435572,29.729401900867714,-0.45923531443214216
Llama-3.1-8B-Instruct,electoral college protects democracy,3.1160822686944245,0.7108566874685953,-0.02911647440847555,0.015806539275220202,-1.8420524506664933,43.15284717439317,38.26529517609147,4.887551998301703
Llama-3.1-8B-Instruct,emergency powers for public health,3.1609790118258116,-0.02899321337580953,0.03882235647435618,0.03532499823582049,1.0990051921641506,34.26912131107766,19.29596618832209,14.973155122755571
Llama-3.1-8B-Instruct,environmental regulation,1.7061157446441966,0.04872853472082778,-0.10853386227807403,0.036461874367552015,-2.9766396862652784,38.6695795578081,38.57951248121729,0.09006707659080604
