Model,Opinion_A,beta_clip,h_clip,meta_clip,beta_ac,h_ac,meta_ac,beta_unw,h_unw,meta_unw,beta_mle,h_mle,meta_mle,classification,z,robust,beta_paper,h_paper,meta_paper
Llama-3.1-8B-Instruct,liberal,1.6577328321609563,2.103106564690058,False,0.7310314185373089,3.2160534653935287,False,0.6299970295566307,2.641211988945555,False,1.0828638953083032,1.7961518411391542,False,monostable,-0.2800318700899321,False,1.6577328321609563,2.103106564690058,False
Llama-3.1-8B-Instruct,pro-life,2.1179761181079026,-0.7043808276488208,False,1.4097624197109784,-0.6973165424298756,False,1.0211795999366053,-0.6912128034527149,False,1.2486821801321382,-0.6819042866769338,False,monostable,-4.6536856351510725,True,2.117976118107902,-0.7043808276488208,False
Llama-3.1-8B-Instruct,capitalism,3.1597124482070655,0.13216541192897147,True,2.0736018378089067,0.17075940533945433,True,1.7716135208517427,0.16349165659718146,True,1.695554154498168,0.2135195498561728,False,metastable,5.207182089695768,True,3.159712448207065,0.1321654119289714,True
Llama-3.1-8B-Instruct,globalism,2.4899898868770065,0.6164191444048057,False,2.0432950224230955,0.6145568809620034,False,1.8457661216813934,0.6048808047496604,False,2.016649385631945,0.6238318807834564,False,monostable,-4.744069188526729,True,2.4899898868770065,0.6164191444048057,False
Llama-3.1-8B-Instruct,climate change believer,2.9637367721492396,1.4562156944955542,False,1.8409948152467823,1.7811918331693544,False,1.417745399247719,1.9968663759326588,False,2.4217991722775283,1.5119610642050658,False,monostable,-0.4089759172473831,False,2.963736090419663,1.4562158465760575,False
Llama-3.1-8B-Instruct,gun control,2.583645674110063,0.09904108412621344,True,2.5848623725228874,0.09927180833781839,True,2.5861750528205993,0.10006423467721513,True,2.474131374233811,0.0970790666681013,True,metastable,7.653815884367213,True,2.583645674110063,0.0990410841262134,True
Llama-3.1-8B-Instruct,open borders,3.2190337018748343,0.7533823372026252,False,3.2503608213665656,0.7543934880844861,False,3.3517306457169163,0.7636651679635631,False,3.024751926303196,0.7549471780025317,False,monostable,-7.161975001852251,True,3.2190337018748343,0.7533823372026252,False
Llama-3.1-8B-Instruct,universal healthcare,2.811357248416949,0.5120471081605821,False,2.497679600166169,0.505785610624494,False,2.3321177541548552,0.48898689058106865,False,2.389907746238626,0.5069858632948114,False,monostable,-1.956139379610064,False,2.811357248416949,0.5120471081605821,False
Llama-3.1-8B-Instruct,tax the rich,1.776076907463374,0.041735468217696206,True,1.771364855523085,0.043824202502377396,True,1.7627497680059498,0.059831782407451205,True,1.6180052767852016,0.0401912880638987,True,metastable,3.4695375785301232,True,1.776076907463374,0.0417354682176962,True
Llama-3.1-8B-Instruct,big government,3.3366223938115778,-1.0169634394278368,False,1.9231148552551225,-1.0944089872031735,False,1.2272377170097761,-1.2145465087151257,False,1.4460861026079188,-1.149408093531472,False,monostable,-9.680742529770459,True,3.3366223938115778,-1.0169634394278368,False
