Model,file,n_points,beta,h,M,bic_tanh,bic_jump,bic_linear,bic_step,winner,dbic_linear_vs_tanh,dbic_step_vs_tanh,dbic_jump_vs_tanh,bic_voter,dbic_voter_vs_tanh
Llama-3.1-8B-Instruct,transition_prob_50_0.2_AI development freedom.txt,10,4.06218357597472,0.8377742792189709,0.0004334581747822,356.2840816808727,358.58377911817354,353.2866418300049,412.28256125450594,linear,-2.9974398508677496,55.99847957363323,2.299697437300836,1427.3497966484524,1071.0657149675797
Llama-3.1-8B-Instruct,transition_prob_50_0.2_Israel support.txt,10,0.7153658244251146,0.8391235412691904,0.2388363481898052,1031.7821641954454,986.5515680091656,985.0729408291834,965.1510076502108,step,-46.709223366262,-66.63115654523472,-45.23059618627963,1568.2397484261367,536.4575842306913
Llama-3.1-8B-Instruct,transition_prob_50_0.2_LGBTQ+ rights.txt,10,2.50128899504248,0.7686720557623252,0.0298884413171457,487.0623641616669,485.3984300288224,475.2926864846445,518.8358952122655,linear,-11.7696776770224,31.77353105059865,-1.6639341328444743,1318.1643509002554,831.1019867385885
Llama-3.1-8B-Instruct,transition_prob_50_0.2_Supreme Court lifetime appointments.txt,10,2.098134223098035,-0.2413370773465493,0.0411651304431924,696.2726083954013,693.8115726224929,706.7198175316144,857.017199715293,jump,10.44720913621302,160.7445913198917,-2.461035772908417,825.5799254423762,129.30731704697484
Llama-3.1-8B-Instruct,transition_prob_50_0.2_abortion rights.txt,10,-9.35947265625003,-2.10222167968748,-1.91385219417609e-06,4.607170186988149,6.909755279982195,4.607170186988149,6.909755279982195,tanh,0.0,2.302585092994046,2.302585092994046,2064.0112352703195,2059.4040650833313
Llama-3.1-8B-Instruct,transition_prob_50_0.2_affirmative action constitutional.txt,10,7.0937700715975485,1.035052614753637,-0.0047848682796138,154.27758412201337,142.99948587248377,153.76059472976135,152.30891756973818,jump,-0.5169893922520146,-1.968666552275181,-11.27809824952962,1949.1301652351676,1794.8525811131542
Llama-3.1-8B-Instruct,transition_prob_50_0.2_affirmative action.txt,10,1.4751684899167348,-0.048282327902947,-0.1941040757068822,915.2652749616872,879.9632196913952,934.7603383465248,951.938905273528,jump,19.495063384837408,36.673630311840725,-35.302055270292044,963.3970736546297,48.13179869294254
Llama-3.1-8B-Instruct,transition_prob_50_0.2_animal rights.txt,10,3.5004465424363325,0.856617636289402,0.0012429195784998,375.0754231098463,377.2426404379172,385.4115676147983,422.3486883538193,tanh,10.33614450495196,47.27326524397296,2.167217328070876,1463.9959162492298,1088.9204931393836
Llama-3.1-8B-Instruct,transition_prob_50_0.2_anti-censorship.txt,10,1.0098696055454748,0.2302771831636824,0.3395895701379253,1082.7933651346264,1044.0354282217186,1077.190997374234,1038.6132424930304,step,-5.602367760392326,-44.18012264159597,-38.75793691290778,1235.8598684596964,153.06650332507002
Llama-3.1-8B-Instruct,transition_prob_50_0.2_big government.txt,10,1.4460861026079188,-1.149408093531472,-0.0111493320941859,481.8379143154478,480.3768030787995,522.332887333633,467.5061082723513,step,40.49497301818525,-14.331806043096492,-1.4611112366482644,1706.2618076363688,1224.423893320921
