Opinion_A,Opinion_B,m0,count_A,count_B,invalid,n_total,discard_rate
liberal,conservative,0.92,85,5,10,100,0.1
liberal,conservative,0.8,79,4,17,100,0.17
liberal,conservative,0.6,65,12,23,100,0.23
liberal,conservative,0.2,67,20,13,100,0.13
liberal,conservative,0.08,50,34,16,100,0.16
liberal,conservative,-0.08,48,39,13,100,0.13
liberal,conservative,-0.2,26,59,15,100,0.15
liberal,conservative,-0.6,15,80,5,100,0.05
liberal,conservative,-0.8,0,90,10,100,0.1
liberal,conservative,-0.92,0,98,2,100,0.02
pro-life,pro-choice,0.92,88,1,11,100,0.11
pro-life,pro-choice,0.8,81,1,18,100,0.18
pro-life,pro-choice,0.6,73,6,21,100,0.21
pro-life,pro-choice,0.2,36,39,25,100,0.25
pro-life,pro-choice,0.08,24,55,21,100,0.21
pro-life,pro-choice,-0.08,23,62,15,100,0.15
pro-life,pro-choice,-0.2,5,74,21,100,0.21
pro-life,pro-choice,-0.6,1,74,25,100,0.25
pro-life,pro-choice,-0.8,0,88,12,100,0.12
pro-life,pro-choice,-0.92,0,91,9,100,0.09
capitalism,socialism,0.92,90,0,10,100,0.1
capitalism,socialism,0.8,87,2,11,100,0.11
capitalism,socialism,0.6,82,6,12,100,0.12
capitalism,socialism,0.2,60,33,7,100,0.07
capitalism,socialism,0.08,44,51,5,100,0.05
capitalism,socialism,-0.08,34,59,7,100,0.07
capitalism,socialism,-0.2,26,66,8,100,0.08
capitalism,socialism,-0.6,13,79,8,100,0.08
capitalism,socialism,-0.8,9,84,7,100,0.07
capitalism,socialism,-0.92,4,95,1,100,0.01
globalism,nationalism,0.92,99,0,1,100,0.01
globalism,nationalism,0.8,97,1,2,100,0.02
globalism,nationalism,0.6,95,0,5,100,0.05
globalism,nationalism,0.2,85,11,4,100,0.04
globalism,nationalism,0.08,79,12,9,100,0.09
globalism,nationalism,-0.08,69,28,3,100,0.03
globalism,nationalism,-0.2,53,36,11,100,0.11
globalism,nationalism,-0.6,15,80,5,100,0.05
globalism,nationalism,-0.8,5,93,2,100,0.02
globalism,nationalism,-0.92,3,90,7,100,0.07
climate change believer,climate change skeptic,0.92,71,0,29,100,0.29
climate change believer,climate change skeptic,0.8,63,0,37,100,0.37
climate change believer,climate change skeptic,0.6,44,0,56,100,0.56
climate change believer,climate change skeptic,0.2,34,1,65,100,0.65
climate change believer,climate change skeptic,0.08,36,0,64,100,0.64
climate change believer,climate change skeptic,-0.08,47,0,53,100,0.53
climate change believer,climate change skeptic,-0.2,36,0,64,100,0.64
climate change believer,climate change skeptic,-0.6,49,19,32,100,0.32
climate change believer,climate change skeptic,-0.8,23,35,42,100,0.42
climate change believer,climate change skeptic,-0.92,9,62,29,100,0.29
gun control,gun rights,0.92,95,0,5,100,0.05
gun control,gun rights,0.8,95,0,5,100,0.05
gun control,gun rights,0.6,94,1,5,100,0.05
gun control,gun rights,0.2,70,16,14,100,0.14
gun control,gun rights,0.08,57,35,8,100,0.08
gun control,gun rights,-0.08,35,55,10,100,0.1
gun control,gun rights,-0.2,21,68,11,100,0.11
gun control,gun rights,-0.6,2,93,5,100,0.05
gun control,gun rights,-0.8,1,97,2,100,0.02
gun control,gun rights,-0.92,0,96,4,100,0.04
open borders,closed borders,0.92,97,0,3,100,0.03
open borders,closed borders,0.8,94,0,6,100,0.06
open borders,closed borders,0.6,90,0,10,100,0.1
open borders,closed borders,0.2,83,0,17,100,0.17
open borders,closed borders,0.08,79,1,20,100,0.2
open borders,closed borders,-0.08,84,1,15,100,0.15
open borders,closed borders,-0.2,83,1,16,100,0.16
open borders,closed borders,-0.6,76,5,19,100,0.19
open borders,closed borders,-0.8,53,28,19,100,0.19
open borders,closed borders,-0.92,45,41,14,100,0.14
universal healthcare,private healthcare,0.92,98,0,2,100,0.02
universal healthcare,private healthcare,0.8,91,0,9,100,0.09
universal healthcare,private healthcare,0.6,90,2,8,100,0.08
universal healthcare,private healthcare,0.2,87,4,9,100,0.09
universal healthcare,private healthcare,0.08,91,2,7,100,0.07
universal healthcare,private healthcare,-0.08,86,5,9,100,0.09
universal healthcare,private healthcare,-0.2,85,5,10,100,0.1
universal healthcare,private healthcare,-0.6,28,65,7,100,0.07
universal healthcare,private healthcare,-0.8,15,78,7,100,0.07
universal healthcare,private healthcare,-0.92,5,91,4,100,0.04
tax the rich,lower taxes,0.92,76,0,24,100,0.24
tax the rich,lower taxes,0.8,87,1,12,100,0.12
tax the rich,lower taxes,0.6,83,8,9,100,0.09
tax the rich,lower taxes,0.2,44,37,19,100,0.19
tax the rich,lower taxes,0.08,39,48,13,100,0.13
tax the rich,lower taxes,-0.08,31,58,11,100,0.11
tax the rich,lower taxes,-0.2,17,65,18,100,0.18
tax the rich,lower taxes,-0.6,2,91,7,100,0.07
tax the rich,lower taxes,-0.8,0,97,3,100,0.03
tax the rich,lower taxes,-0.92,0,99,1,100,0.01
big government,small government,0.92,91,1,8,100,0.08
big government,small government,0.8,85,9,6,100,0.06
big government,small government,0.6,61,22,17,100,0.17
big government,small government,0.2,31,51,18,100,0.18
big government,small government,0.08,28,59,13,100,0.13
big government,small government,-0.08,13,73,14,100,0.14
big government,small government,-0.2,5,81,14,100,0.14
big government,small government,-0.6,3,88,9,100,0.09
big government,small government,-0.8,0,94,6,100,0.06
big government,small government,-0.92,1,96,3,100,0.03
